Row,Regex1,Regex2,IsEquivalent,SimilarityScore
1,"^\d{7,15}$","^\d{7,15}$",True,1.0
2,^nfqsiz.*ldulxkg.*$,^nfqsiz.*ldulxkg.*$,True,1.0
3,"^\d{5,9}$","^\d{5,9}$",True,1.0
4,^cgeomsl.*rty.*$,^cgeomsl.*rty.*$,True,1.0
5,"^.{3,10}lniuqt$","^.{3,10}lniuqt$",True,1.0
6,^[a-zA-Z]{2}$,^[a-zA-Z]{2}$,True,1.0
7,"^([a-zA-Z]+[ ,.!?;:'""…]*){6}[a-zA-Z]+[.!?;:'""…]?$","^([a-zA-Z]+[ ,.!?;:'""…]*){6}[a-zA-Z]+[.!?;:'""…]?$",True,1.0
8,^[^\d]*$,^[^\d]*$,True,1.0
9,\d+,\d+,True,1.0
10,"^\d{6,9}$","^\d{6,9}$",True,1.0
11,(2025(04(30|29|28|27|26|25|24|23|22|21|20|19|18|17|16)|05(02|01))),\d{4}(0[1-9]|1[0-2])(0[1-9]|[12][0-9]|3[01])$,False,0.18181818181818177
12,^(?=.*uioj)(?=.*iozrqu).*$,^(?=.*uioj)(?=.*iozrqu).*$,True,1.0
13,"^([a-zA-Z]{5,10}[ ,.!?;:'""…]*){4,7}[a-zA-Z]{5,10}[.!?;:'""…]?$","^([a-zA-Z]{5,10}[ ,.!?;:'""…]*){4,7}[a-zA-Z]{5,10}[.!?;:'""…]?$",True,1.0
14,^\d+\.\d+\.\d+$,^\d+\.\d+\.\d+$,True,1.0
15,"^\d{4,16}$","^\d{4,16}$",True,1.0
16,^\d.*$,^\d.*$,True,1.0
17,(2025(04(30|29|28|27|26|25|24|23|22|21|20|19|18|17|16|15|14|13|12|11|10)|05(02|01))),\d{4}(0[1-9]|1[0-2])(0[1-9]|[12]\d|3[01])$,False,0.16666666666666663
18,^\d.*$,^\d.*$,True,1.0
19,"^([a-zA-Z]+[ ,.!?;:'""…]*){7}[a-zA-Z]+[.!?;:'""…]?$","^([a-zA-Z]+[ ,.!?;:'""…]*){7}[a-zA-Z]+[.!?;:'""…]?$",True,1.0
20,^(?=.*gimlx)(?=.*vpebjc).*$,^(?=.*gimlx)(?=.*vpebjc).*$,True,1.0
21,.*[a-zA-Z]$,.*[a-zA-Z]$,True,1.0
22,(2025(04(30|29|28|27|26|25|24|23|22|21|20|19|18|17|16|15|14|13|12|11|10|09|08|07|06|05|04|03|02|01)|05(02|01)|03(31|30|29|28|27|26|25|24|23|22|21|20))),^\d{4}(0[1-9]|1[0-2])(0[1-9]|[12]\d|3[01])$,False,0.1258278145695364
23,"^\d{1,8}$","^\d{1,8}$",True,1.0
24,(2025(04(30|29|28|27|26|25|24|23|22|21|20|19|18|17|16|15|14|13)|05(02|01))),\d{4}(0[1-9]|1[0-2])(0[1-9]|[12]\d|3[01])$,False,0.18666666666666665
25,(2025(04(30|29|28|27|26|25|24|23|22|21|20|19|18|17|16|15|14|13|12|11|10|09|08|07|06|05|04|03|02|01)|05(02|01)|03(31|30|29|28|27|26|25|24))),^\d{8}$,False,0.007194244604316502
26,(2025(04(30|29|28|27|26|25|24|23|22)|05(02|01))),\d{4}(0[1-9]|1[0-2])(0[1-9]|[12]\d|3[01])$,False,0.16666666666666663
27,"^rgb$$1,\s*$2,\s*$3$$","^#[0-9a-fA-F]{2}{3,4}$",False,0.09090909090909094
28,^decijvcc.*,^decijvcc.*,True,1.0
29,.*[!@#$%^&*()].*,.*[!@#$%^&*()].*,True,1.0
30,.*[a-zA-Z]$,.*[a-zA-Z]$,True,1.0
31,"^[a-z]{1,7}$","^[a-z]{1,7}$",True,1.0
32,^\d.*$,^\d.*$,True,1.0
33,"^hsl$$1,\s*$2%,\s*$3%$$",^[Hh][Ss][Ll]\d{3}%?$,False,0.21739130434782605
34,"^\d{1,6}$","^\d{1,6}$",True,1.0
35,\d+,\d+,True,1.0
36,"^[A-Z]{1,9}$","^[A-Z]{1,9}$",True,1.0
37,^(?=.*\d)(?=.*[a-zA-Z]).+$,^(?=.*\d)(?=.*[a-zA-Z]).+$,True,1.0
38,"^\d{4,16}$","^\d{4,16}$",True,1.0
39,^[a-zA-Z]{1}$,^[a-zA-Z]{1}$,True,1.0
40,"^\d{3,9}$","^\d{3,9}$",True,1.0
41,\w+,\w+,True,1.0
42,"^[a-z]{5,7}$","^[a-z]{5,7}$",True,1.0
43,"^\d{2,5}$","^\d{2,5}$",True,1.0
44,^zlaq.*ugng.*$,^zlaq.*ugng.*$,True,1.0
45,"^\d{3,10}$","^\d{3,10}$",True,1.0
46,\s+,\s+,True,1.0
47,"^[a-zA-Z0-9]{4,10}$","^[a-zA-Z0-9]{4,10}$",True,1.0
48,"^([a-zA-Z]{1,9}[ ,.!?;:'""…]*){4,6}[a-zA-Z]{1,9}[.!?;:'""…]?$","^([a-zA-Z]{1,9}[ ,.!?;:'""…]*){4,6}[a-zA-Z]{1,9}[.!?;:'""…]?$",True,1.0
49,.*doeyhxys$,.*doeyhxys$,True,1.0
50,"^\d{5,16}$","^\d{5,16}$",True,1.0
51,(2025(04(30|29|28|27|26|25|24|23|22|21|20|19|18|17|16|15|14|13|12|11|10|09|08|07|06|05|04|03|02|01)|05(02|01)|03(31|30|29|28|27|26|25|24|23|22|21|20|19|18|17|16))),^\d{8}$,False,0.006134969325153339
52,"^hsl$$1,\s*$2%,\s*$3%$$","^hsl\(\d+,0,0\)$",False,0.30434782608695654
53,^(?=.*jhllijo)(?=.*ygams).*$,^(?=.*jhllijo)(?=.*ygams).*$,True,1.0
54,(2025(04(30|29|28|27|26|25|24|23|22|21|20|19|18|17|16|15|14|13|12|11|10|09|08)|05(02|01))),\d{4}(0[1-9]|1[0-2])(0[1-9]|[12][0-9]|3[01])$,False,0.1777777777777778
55,\w+,\w+,True,1.0
56,"^[a-zA-Z0-9]{4,10}$","^[a-zA-Z0-9]{4,10}$",True,1.0
57,(2025(04(30|29|28|27|26|25|24|23|22)|05(02|01))),\d{4}(0[1-9]|1[0-2])(0[1-9]|[12]\d|3[01])$,False,0.16666666666666663
58,\d+,\d+,True,1.0
59,(2025(04(30|29|28|27|26|25|24|23|22|21|20|19|18|17|16|15|14|13|12)|05(02|01))),^\d{4}(0[1-9]|1[0-2])(0[1-9]|[12][0-9]|3[01])$,False,0.16666666666666663
60,^hyfq.*paojeb.*$,^hyfq.*paojeb.*$,True,1.0
61,^(?=.*wuwjv)(?=.*lvbop).*$,^(?=.*wuwjv)(?=.*lvbop).*$,True,1.0
62,.*qipcxc$,.*qipcxc$,True,1.0
63,"^.{4,9}gpo$","^.{4,9}gpo$",True,1.0
64,^(?=.*\d)(?=.*[a-zA-Z]).+$,^(?=.*\d)(?=.*[a-zA-Z]).+$,True,1.0
65,.*[!@#$%^&*()].*,.*[!@#$%^&*()].*,True,1.0
66,.*[a-zA-Z]$,.*[a-zA-Z]$,True,1.0
67,^.*data.*$,.*data.*,True,1.0
68,^\d.*$,^\d.*$,True,1.0
69,^njjfugo.*qibvwpz.*$,^njjfugo.*qibvwpz.*$,True,1.0
70,^twfs.*,^twfs.*,True,1.0
71,"^\d{7,11}$","^\d{7,11}$",True,1.0
72,"^^([0-9a-fA-F]{1,4}:){7}[0-9a-fA-F]{1,4}$$","^([A-Fa-f0-9]{1,4}:){7}[A-Fa-f0-9]{1,4}$",False,0.7619047619047619
73,^[A-Z][a-zA-Z]*$,^[A-Z][a-zA-Z]*$,True,1.0
74,^(?=.*lbb)(?=.*diggqx).*$,^(?=.*lbb)(?=.*diggqx).*$,True,1.0
75,"^[A-Z]{5,10}$","^[A-Z]{5,10}$",True,1.0
76,"^\d{5,13}$","^\d{5,13}$",True,1.0
77,^[a-zA-Z]{5}$,^[a-zA-Z]{5}$,True,1.0
78,"^\d{4,14}$","^\d{4,14}$",True,1.0
79,(2025(04(30|29|28|27|26|25|24|23|22|21|20|19|18|17|16|15|14|13|12|11|10|09|08|07|06|05|04|03)|05(02|01))),\d{4}(0[1-9]|1[0-2])(0[1-9]|[12]\d|3[01])$,False,0.1428571428571429
80,^.*\.(jpeg|png|gif|bmp)$,^(JPEG|PNG|GIF|BMP)$,False,0.29166666666666663
81,"^\d{4,11}$","^\d{4,11}$",True,1.0
82,"^([a-zA-Z]{1,9}[ ,.!?;:'""…]*){4,8}[a-zA-Z]{1,9}[.!?;:'""…]?$","^([a-zA-Z]{1,9}[ ,.!?;:'""…]*){4,8}[a-zA-Z]{1,9}[.!?;:'""…]?$",True,1.0
83,^\d+(\.\d+)?(\.\d+)?$,^\d+\.\d+\.\d+$,False,0.7142857142857143
